Dominant_Topic,Topic_Keywords,Num_Documents,Perc_Documents,Publication Year
19,"policy, government, state, public, development, irish, local, political, interest, reform",106,0.0258,2005
6,"information, time, method, problem, make, approach, provide, process, standard, option",292,0.0712,2005
8,"model, estimate, show, result, test, dynamic, function, apply, variable, empirical",347,0.0846,2005
9,"country, international, trade, european, integration, power, case, relation, rights_reserve, pattern",186,0.0453,2005
4,"sector, investment, industry, role, foreign, impact, capital, domestic, productivity, important",162,0.0395,2005
12,"service, year, health, child, care, study, programme, control, early, life",293,0.0714,2005
19,"policy, government, state, public, development, irish, local, political, interest, reform",99,0.0241,2005
10,"high, education, employment, labour, find, increase, wage, work, low, worker",173,0.0422,2005
5,"business, practice, research, process, chapter, management, knowledge, approach, development, focus",245,0.0597,2005
13,"risk, measure, performance, result, strategy, return, index, portfolio, factor, fund",187,0.0456,2005
3,"paper, relationship, finding, consumer, study, company, purpose, base, approach, report",285,0.0695,2005
3,"paper, relationship, finding, consumer, study, company, purpose, base, approach, report",166,0.0405,2005
5,"business, practice, research, process, chapter, management, knowledge, approach, development, focus",156,0.038,2005
16,"change, income, irish, tax, paper, household, demand, rate, consumption, increase",169,0.0412,2005
2,"market, price, stock, return, volatility, evidence, period, shock, rate, future",260,0.0634,2005
11,"product, production, increase, farm, output, efficiency, paper, impact, potential, support",202,0.0492,2005
7,"social, study, research, explore, influence, experience, group, behaviour, network, individual",202,0.0492,2005
2,"market, price, stock, return, volatility, evidence, period, shock, rate, future",126,0.0307,2005
8,"model, estimate, show, result, test, dynamic, function, apply, variable, empirical",223,0.0544,2005
18,"article, issue, argue, work, theory, social, human, people, debate, view",224,0.0546,2005
9,"country, international, trade, european, integration, power, case, relation, rights_reserve, pattern",,,2005
11,"product, production, increase, farm, output, efficiency, paper, impact, potential, support",,,2005
15,"firm, effect, find, level, large, small, evidence, size, result, export",,,2005
5,"business, practice, research, process, chapter, management, knowledge, approach, development, focus",,,2005
11,"product, production, increase, farm, output, efficiency, paper, impact, potential, support",,,2005
8,"model, estimate, show, result, test, dynamic, function, apply, variable, empirical",,,2005
3,"paper, relationship, finding, consumer, study, company, purpose, base, approach, report",,,2005
1,"financial, economic, economy, crisis, growth, global, period, bank, credit, external",,,2005
1,"financial, economic, economy, crisis, growth, global, period, bank, credit, external",,,2005
19,"policy, government, state, public, development, irish, local, political, interest, reform",,,2005
8,"model, estimate, show, result, test, dynamic, function, apply, variable, empirical",,,2005
2,"market, price, stock, return, volatility, evidence, period, shock, rate, future",,,2005
1,"financial, economic, economy, crisis, growth, global, period, bank, credit, external",,,2005
17,"cost, show, structure, result, good, rule, reduce, case, optimal, study",,,2005
9,"country, international, trade, european, integration, power, case, relation, rights_reserve, pattern",,,2005
8,"model, estimate, show, result, test, dynamic, function, apply, variable, empirical",,,2005
2,"market, price, stock, return, volatility, evidence, period, shock, rate, future",,,2005
3,"paper, relationship, finding, consumer, study, company, purpose, base, approach, report",,,2005
2,"market, price, stock, return, volatility, evidence, period, shock, rate, future",,,2005
2,"market, price, stock, return, volatility, evidence, period, shock, rate, future",,,2005
3,"paper, relationship, finding, consumer, study, company, purpose, base, approach, report",,,2005
15,"firm, effect, find, level, large, small, evidence, size, result, export",,,2005
4,"sector, investment, industry, role, foreign, impact, capital, domestic, productivity, important",,,2005
17,"cost, show, structure, result, good, rule, reduce, case, optimal, study",,,2005
14,"system, energy, technology, design, environmental, project, management, sustainable, area, environment",,,2005
4,"sector, investment, industry, role, foreign, impact, capital, domestic, productivity, important",,,2005
16,"change, income, irish, tax, paper, household, demand, rate, consumption, increase",,,2005
16,"change, income, irish, tax, paper, household, demand, rate, consumption, increase",,,2005
2,"market, price, stock, return, volatility, evidence, period, shock, rate, future",,,2005
13,"risk, measure, performance, result, strategy, return, index, portfolio, factor, fund",,,2005
0,"datum, paper, analysis, provide, economic, regional, level, region, term, number",,,2005
13,"risk, measure, performance, result, strategy, return, index, portfolio, factor, fund",,,2005
3,"paper, relationship, finding, consumer, study, company, purpose, base, approach, report",,,2005
4,"sector, investment, industry, role, foreign, impact, capital, domestic, productivity, important",,,2005
8,"model, estimate, show, result, test, dynamic, function, apply, variable, empirical",,,2005
15,"firm, effect, find, level, large, small, evidence, size, result, export",,,2005
19,"policy, government, state, public, development, irish, local, political, interest, reform",,,2005
9,"country, international, trade, european, integration, power, case, relation, rights_reserve, pattern",,,2005
17,"cost, show, structure, result, good, rule, reduce, case, optimal, study",,,2005
15,"firm, effect, find, level, large, small, evidence, size, result, export",,,2005
14,"system, energy, technology, design, environmental, project, management, sustainable, area, environment",,,2005
13,"risk, measure, performance, result, strategy, return, index, portfolio, factor, fund",,,2005
0,"datum, paper, analysis, provide, economic, regional, level, region, term, number",,,2005
10,"high, education, employment, labour, find, increase, wage, work, low, worker",,,2005
8,"model, estimate, show, result, test, dynamic, function, apply, variable, empirical",,,2005
11,"product, production, increase, farm, output, efficiency, paper, impact, potential, support",,,2005
17,"cost, show, structure, result, good, rule, reduce, case, optimal, study",,,2005
