YEAR,SORTED TOPIC,,,,,,,,,,,,,,,,,,,
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2001,2,3,8,2,4,,1,1,5,4,2,4,2,5,2,4,3,3,1,3
2002,1,3,8,4,5,2,1,,4,2,6,2,1,,,2,,2,1,
2003,4,7,1,1,3,3,2,2,7,1,8,4,2,5,1,2,3,4,9,4
2004,,2,14,3,7,3,2,2,8,3,11,6,3,5,,1,3,3,6,5
2005,4,5,10,11,6,4,3,1,12,6,3,5,2,6,4,7,4,5,4,4
2006,2,8,14,7,7,6,3,3,13,9,5,7,3,16,5,3,3,3,11,10
2007,3,7,14,2,5,5,7,6,21,12,18,5,3,8,4,4,5,4,9,1
2008,9,8,20,5,8,10,3,11,11,6,6,8,8,9,6,9,7,4,9,3
2009,3,13,16,10,10,5,6,6,15,6,13,9,4,3,15,6,10,5,12,7
2010,4,14,20,9,8,15,7,10,22,6,15,6,9,9,19,12,13,2,14,19
2011,3,17,11,12,11,21,7,7,19,11,18,6,11,3,15,10,11,4,8,9
2012,6,19,6,9,7,21,6,12,7,6,16,8,10,12,15,11,13,4,11,16
2013,5,30,18,20,13,29,12,7,14,23,23,15,11,8,16,18,16,3,17,17
2014,7,34,29,14,6,27,7,15,11,6,19,9,8,12,20,18,15,4,14,12
2015,10,25,23,10,12,19,4,7,5,15,16,12,18,12,17,15,9,5,17,17
2016,6,25,20,11,12,30,5,16,18,17,14,11,10,10,15,12,21,7,19,17
2017,10,18,21,20,5,38,4,14,9,11,28,12,18,10,36,13,18,11,23,28
2018,9,18,26,7,12,25,4,12,13,11,12,15,11,8,36,16,21,11,12,19
2019,16,28,40,22,14,24,13,30,16,27,41,14,16,22,25,30,19,31,20,24
2020,2,8,28,7,7,6,2,11,15,5,11,8,6,6,9,9,8,11,6,9
